Thema;Frage;Typ;AntwortA;AntwortB;AntwortC;AntwortD;Richtig;Erklaerung
BImSchG;Welches Ziel verfolgt das Bundes-Immissionsschutzgesetz (BImSchG) im Kern?;single;Schutz vor schädlichen Umwelteinwirkungen und Vorsorge;Förderung des Außenhandels;Regelung des Zivilrechts;Organisation der Kommunalverwaltung;A;Das BImSchG dient dem Schutz von Menschen, Tieren, Pflanzen, Boden, Wasser, Luft und Kultur­gütern vor schädlichen Umwelteinwirkungen sowie der Vorsorge.
BImSchG;Was versteht man unter „schädlichen Umwelteinwirkungen“ im Sinne des BImSchG?;single;Jede beliebige Emission;Immissionen, die erhebliche Belästigungen oder Gefahren verursachen können;Nur Lärm über 85 dB;Nur gefährliche Abfälle;B;Schädliche Umwelteinwirkungen sind Immissionen, die nach Art, Ausmaß oder Dauer geeignet sind, erhebliche Belästigungen oder Gefahren herbeizuführen.
BImSchG;Welche Anlagen sind im Sinne des BImSchG typischerweise genehmigungsbedürftig?;multi;Bestimmte Industrie- und Gewerbeanlagen nach 4. BImSchV;Alle Wohnhäuser;Anlagen, die in der 4. BImSchV aufgeführt sind;Jeder Privat-Pkw;"A;C";Genehmigungsbedürftig sind insbesondere die in der 4. BImSchV aufgeführten Anlagen (u. a. Industrieanlagen, Energieanlagen).
BImSchG;Welche Aussage zur immissionsschutzrechtlichen Genehmigung ist richtig?;single;Sie ist eine rein privatrechtliche Vereinbarung;Sie ersetzt andere behördliche Genehmigungen (Konzentrationswirkung) soweit gesetzlich bestimmt;Sie gilt nur für zwei Jahre;Sie wird immer vom Bundesumweltministerium erteilt;B;Die BImSchG-Genehmigung entfaltet grundsätzlich Konzentrationswirkung, d. h. andere öffentlich-rechtliche Genehmigungen werden ersetzt, soweit dies gesetzlich vorgesehen ist.
BImSchG;Welche Pflichten treffen den Betreiber einer genehmigungsbedürftigen Anlage?;multi;Anlage so betreiben, dass schädliche Umwelteinwirkungen vermieden werden, soweit möglich;Nur betriebswirtschaftliche Optimierung;Vorsorge durch Stand der Technik;Keine Pflicht zur Störfallvorsorge;"A;C";Der Betreiber muss schädliche Umwelteinwirkungen vermeiden bzw. minimieren und Vorsorge gegen Risiken treffen, u. a. durch Einsatz des Standes der Technik.
BImSchG;Was bedeutet „Stand der Technik“ im Kontext des BImSchG?;single;Der billigste verfügbare Stand;Der in der Praxis am häufigsten eingesetzte technische Standard;Der Entwicklungsstand fortschrittlicher Verfahren, Einrichtungen und Betriebsweisen;Nur staatliche Forschungsergebnisse;C;Stand der Technik ist der Entwicklungsstand fortschrittlicher Verfahren, die die praktische Eignung erwiesen haben und die zur Emissionsminderung geeignet sind.
BImSchG;Welche Behörde ist in NRW typischerweise für größere genehmigungsbedürftige Industrieanlagen zuständig?;single;Ordnungsamt der Gemeinde;Bezirksregierung;Landtag NRW;Europäische Kommission;B;In NRW sind für viele genehmigungsbedürftige Anlagen die Bezirksregierungen als Obere Immissionsschutzbehörden zuständig.
BImSchG;Welche Aussagen zum Genehmigungsverfahren nach BImSchG treffen zu?;multi;Es ist ein Verwaltungsverfahren;Die Öffentlichkeit kann in bestimmten Fällen beteiligt werden;Ein Antrag ist nicht nötig, es genügt eine Anzeige;Umweltbelange sind zu prüfen;"A;B;D";"Das Genehmigungsverfahren ist ein Verwaltungsverfahren; es kann Öffentlichkeitsbeteiligung umfassen, Umweltbelange sind zu prüfen. Eine Genehmigung erfolgt auf Antrag."
BImSchG;Welche Maßnahmen kann die Behörde bei Verstößen gegen immissionsschutzrechtliche Pflichten ergreifen?;multi;Anordnungen zur Einhaltung der Pflichten;Betriebsuntersagung;Vollständige Ignorierung, wenn der Betreiber bekannt ist;Zwangsmaßnahmen nach Verwaltungsrecht;"A;B;D";Bei Verstößen kann die Behörde u. a. Anordnungen erlassen, den Betrieb untersagen und Zwangsmittel nach Verwaltungsrecht anwenden.
BImSchG;Was ist ein typischer Inhalt von Nebenbestimmungen in einer BImSchG-Genehmigung?;single;Regelung der Eigentumsverhältnisse am Grundstück;Auflagen zu Emissionsbegrenzungen, Messungen und Betrieb;Festlegung der Kommunalsteuern;Vereinbarung über Arbeitsverträge im Betrieb;B;Nebenbestimmungen enthalten z. B. Auflagen zu Emissionsgrenzwerten, Überwachung, Messungen, Betriebsorganisation und Dokumentation, um die gesetzlichen Anforderungen sicherzustellen.
VwVfG;Was ist ein Verwaltungsakt im Sinne des § 35 VwVfG?;single;Eine behördliche Auskunft ohne Rechtswirkung;Eine hoheitliche Maßnahme einer Behörde auf dem Gebiet des öffentlichen Rechts zur Regelung eines Einzelfalls mit Außenwirkung;Ein Gesetz des Parlaments;Ein privatrechtlicher Vertrag;B;Ein Verwaltungsakt ist eine hoheitliche Maßnahme einer Behörde auf dem Gebiet des öffentlichen Rechts zur Regelung eines Einzelfalls mit Außenwirkung (§ 35 VwVfG). !!! Begriffsmerkmale sind klausurrelevant.
